2014    1	241.6	 18
2014	2	174.1	 23
2014	3	75.6	10
2014	4	106.3	 11
2014	5	33.3	13
2014	6	122.8	 18
2014	7	185.4	 20
2014	8	107.5	 19
2014	9	9.9	8
2014	10	56.1	12
2014	11	341.9	 24
2014	12	59.9	23
2013	1	54.5	13
2013	2	30.4	10
2013	3	156.3	 16
2013	4	109.1	 16
2013	5	183	18
2013	6	37.8	7
2013	7	65.4	6
2013	8	40.8	6
2013	9	29.6	7
2013	10	86	15
2013	11	86.8	16
2013	12	99.3	13
2012	1	17.7	5
2012	2	16.1	6
2012	3	14.9	3
2012	4	115.2	 18
2012	5	103.5	 7
2012	6	80	6
2012	7	22.2	7
2012	8	15.4	3
2012	9	102.5	 12
2012	10	53.2	8
2012	11	162.2	 12
2012	12	53.8	12
2011	1	26.6	11
2011	2	64.9	7
2011	3	109	13
2011	4	5.5	3
2011	5	42.3	6
2011	6	84.3	14
2011	7	42.5	13
2011	8	11.2	3
2011	9	74.6	7
2011	10	30.2	5
2011	11	120.7	 7
2011	12	5.3	2
2010	1	43.8	11
2010	2	113.2	 17
2010	3	60	11
2010	4	54.5	9
2010	5      161.7 	17
2010	6	61.9	5
2010	7	11.8	5
2010	8	120.6	 5
2010	9	131.2	 7
2010	10	147.5	 8
2010	11	203.1	 20
2010	12	112.6	 15
2009	1	62.1	10
2009	2	75.9	8
2009	3	91	11
2009	4	195.2	 14
2009	5	4.4	4
2009	6	52.2	10
2009	7	139.6	 5
2009	8	13	6
2009	9	57	8
2009	10	58	4
2009	11	126.4	 15
2009	12	84.6	11
2008	1	113	12
2008	2	44.4	5
2008	3	22.8	9
2008	4	95.9	17
2008	5	114.4	 12
2008	6      120.4 	11
2008	7	67.8	11
2008	8	28.5	5
2008	9	37.6	5
2008	10	52.4	7
2008	11	164.3	 14
2008	12	136.2	 13
